Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,0.0,447.0,10.0,30.0,3121.0,0.1,22.00700000000001,0.0,0.0,536.7706074714661,,,,,,,,,,,,,,,,,,,,,9.105771111414771,7.582150459317631,21.77735980891558,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,522.0,11.0,75.0,3196.0,0.1,66.00800000000004,0.0,0.0,543.5453200340271,,,,,,,,,,,,,,,,,,,,,29.709871280139886,20.422208266508942,63.90751076801477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,591.0,12.0,69.0,3265.0,0.1,62.005999999999986,0.0,0.0,549.8649985790253,,,,,,,,,,,,,,,,,,,,,28.61376850640026,18.99081912268082,60.151893608381535,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,635.0,13.0,44.0,3309.0,0.1,36.006999999999984,0.0,0.0,554.0835156440735,,,,,,,,,,,,,,,,,,,,,15.770878097082823,11.774630765517932,35.383813607129014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,694.0,14.0,59.0,3368.0,0.1,52.005999999999986,0.0,0.0,559.7135174274445,,,,,,,,,,,,,,,,,,,,,23.827777411019103,16.2112333040616,50.701513458152725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,771.0,15.0,77.0,3445.0,0.1,65.01100000000005,0.0,0.0,566.5842251777649,,,,,,,,,,,,,,,,,,,,,28.098914271836186,20.542937444280998,62.973267162125694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,864.0,16.0,93.0,3538.0,0.1,84.00800000000004,0.0,0.0,574.895665884018,,,,,,,,,,,,,,,,,,,,,38.21972468551636,25.34166225151736,80.61471441836932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,946.0,17.0,82.0,3620.0,0.1,74.00700000000003,0.0,0.0,582.2830064296722,,,,,,,,,,,,,,,,,,,,,33.908496095777956,22.455627351567287,71.36917029155904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1026.0,18.0,80.0,3700.0,0.1,70.00900000000004,0.0,0.0,589.7450175285339,,,,,,,,,,,,,,,,,,,,,31.212923708999348,21.677974538289984,67.64719284177076,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1057.0,19.0,31.0,3731.0,0.1,20.010000000000012,0.0,0.0,592.8314027786255,,,,,,,,,,,,,,,,,,,,,7.378351522942878,7.042879654021025,19.820893068031765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
